./data/VOCdevkit/JPEGImages/1.jpg 273,313,348,389,0 512,424,613,527,1 261,424,363,527,1 135,550,238,651,1 512,550,613,651,2
./data/VOCdevkit/JPEGImages/10.jpg 400,563,475,639,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/100.jpg 150,437,225,513,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/102.jpg 150,187,225,263,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/103.jpg 401,187,476,263,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/104.jpg 400,313,475,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/105.jpg 400,437,475,513,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/106.jpg 398,564,473,641,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/107.jpg 275,564,350,640,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/108.jpg 400,439,475,515,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/11.jpg 400,563,475,639,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/110.jpg 274,563,349,639,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/112.jpg 525,312,600,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/113.jpg 274,313,349,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/115.jpg 150,437,225,514,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/116.jpg 524,313,599,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/117.jpg 400,438,475,514,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/118.jpg 400,563,475,639,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/119.jpg 400,563,475,639,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/12.jpg 399,312,474,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
./data/VOCdevkit/JPEGImages/120.jpg 399,312,474,389,0 261,424,363,527,1 512,424,613,527,1 512,550,613,651,2 135,550,238,651,1
